"","person","day","cause_short","month","year","canine","dept_name","state","position"
"17621","Police Officer Frank H. Dunn","Tue","Automobile accident","Oct",1986,FALSE,"Birmingham Police Department"," AL","Police Officer"
"17622","Officer Joseph Steven Pellicano","Fri","Struck by vehicle","Oct",1986,FALSE,"Melbourne Police Department"," FL","Police Officer"
"17623","Village Public Safety Officer Ronald Eugene Zimin","Wed","Gunfire","Oct",1986,FALSE,"Alaska State Troopers - Village Public Safety Officers"," AK","Police Officer"
"17624","Patrol Officer Larry W. Walker","Sat","Gunfire (Accidental)","Oct",1986,FALSE,"Tacoma Police Department"," WA","Police Officer"
"17625","Chief of Police Gary Allen Thompson","Tue","Automobile accident","Oct",1986,FALSE,"Gray Court Police Department"," SC","Chief of Police"
"17626","Narcotics Investigator Manuel Abelardo Segovia, Jr.","Fri","Gunfire","Oct",1986,FALSE,"Hidalgo County Sheriff's Office"," TX","Investigator"
"17627","Sergeant David Ward Mack","Sun","Gunfire","Nov",1986,FALSE,"Minneapolis Police Department"," MN","Sergeant"
"17628","Deputy Frank D. Howell","Mon","Gunfire","Nov",1986,FALSE,"Tarrant County Sheriff's Department"," TX","Deputy"
"17629","Police Officer Emilio Fidel Miyares","Thu","Gunfire","Nov",1986,FALSE,"Hialeah Police Department"," FL","Police Officer"
"17630","Sergeant Donald P. Carroll","Thu","Gunfire","Nov",1986,FALSE,"Jersey City Police Department"," NJ","Sergeant"
"17631","Deputy Sheriff James Harvey Normand","Sat","Vehicular assault","Nov",1986,FALSE,"Rapides Parish Sheriff's Office"," LA","Sheriff"
"17632","Sergeant John H. Kugelman","Mon","Vehicular assault","Nov",1986,FALSE,"Illinois State Police"," IL","Sergeant"
"17633","Police Officer James Albert Slay","Mon","Struck by vehicle","Nov",1986,FALSE,"Tulsa Police Department"," OK","Police Officer"
"17634","Police Officer Kenton E. Britt","Wed","Struck by vehicle","Nov",1986,FALSE,"New York City Police Department"," NY","Police Officer"
"17635","Patrolman Robert William Zimmerman","Fri","Struck by vehicle","Nov",1986,FALSE,"Baltimore County Police Department"," MD","Patrolman"
"17636","Surveillance Officer Lee Franklin Coxwell","Sat","Vehicular assault","Nov",1986,FALSE,"Georgia Department of Corrections"," GA","Police Officer"
"17637","Police Officer Joseph Floyd Taylor","Mon","Gunfire","Nov",1986,FALSE,"Grand Rapids Police Department"," MI","Police Officer"
"17638","Deputy Sheriff Brantley Nolan","Fri","Heart attack","Nov",1986,FALSE,"Union Parish Sheriff's Department"," LA","Sheriff"
"17639","Detective Herbert W. Grimes","Mon","Automobile accident","Nov",1986,FALSE,"Manatee County Sheriff's Office"," FL","Detective"
"17640","Sergeant Gary F. Beringause","Fri","Automobile accident","Nov",1986,FALSE,"Georgia Institute of Technology Police Department"," GA","Sergeant"
"17641","Deputy Sheriff Elmer Murray Harris","Fri","Gunfire","Dec",1986,FALSE,"St. Clair County Sheriff's Department"," IL","Sheriff"
"17642","Lieutenant Johnnie C. Shoates","Sun","Gunfire","Dec",1986,FALSE,"Detroit Police Department"," MI","Lieutenant"
"17643","Officer George Fitzmaurice Butler","Mon","Aircraft accident","Dec",1986,FALSE,"California Highway Patrol"," CA","Police Officer"
"17644","Sergeant William Keith Thurston","Wed","Automobile accident","Dec",1986,FALSE,"Denton County Sheriff's Office"," TX","Sergeant"
"17645","Officer Patrick Joseph Pollock","Fri","Gunfire","Dec",1986,FALSE,"Denver Police Department"," CO","Police Officer"
"17646","Lieutenant Leo Chavez","Fri","Automobile accident","Dec",1986,FALSE,"Valencia County Sheriff's Department"," NM","Lieutenant"
"17647","Corrections Officer George H. Klimpel","Fri","Automobile accident","Dec",1986,FALSE,"Nassau County Sheriff's Department"," NY","Correctional Officer"
"17648","Corrections Officer Maureen F. Callanan","Fri","Automobile accident","Dec",1986,FALSE,"Nassau County Sheriff's Department"," NY","Correctional Officer"
"17649","Police Officer Ronnie Donald Cox","Mon","Gunfire (Accidental)","Dec",1986,FALSE,"Addison Police Department"," TX","Police Officer"
"17650","Patrolman John R. Herron","Sat","Struck by vehicle","Dec",1986,FALSE,"Falmouth Police Department"," KY","Patrolman"
"17651","Special Agent Manuel De J Marrero-Otero","Wed","Fire","Dec",1986,FALSE,"United States Department of the Treasury - United States Secret Service"," US","Special Agent"
